id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
thornal01,Al Thornton,6,2,4,.333,6,2,4,.333,0,0,0,
thomati01,Tim Thomas,6,2,4,.333,6,2,4,.333,0,0,0,
maggeco01,Corey Maggette,6,2,4,.333,6,2,4,.333,0,0,0,
moblecu01,Cuttino Mobley,6,2,4,.333,6,2,4,.333,0,0,0,
knighbr01,Brevin Knight,6,2,4,.333,6,2,4,.333,0,0,0,
rossqu01,Quinton Ross,6,2,4,.333,6,2,4,.333,0,0,0,
poweljo01,Josh Powell,6,2,4,.333,6,2,4,.333,0,0,0,
cassesa01,Sam Cassell,6,2,4,.333,6,2,4,.333,0,0,0,
dickada01,Dan Dickau,5,1,4,.200,5,1,4,.200,0,0,0,
kamanch01,Chris Kaman,5,2,3,.400,5,2,3,.400,0,0,0,
williaa01,Aaron Williams,1,0,1,.000,1,0,1,.000,0,0,0,
